,Word,First,Length
0,aardvark,a,8.0
1,aardwolf,a,8.0
2,aaron,a,5.0
3,aback,a,5.0
4,abacus,a,6.0
5,abaft,a,5.0
6,abalone,a,7.0
7,abandon,a,7.0
8,abandoned,a,9.0
9,abandonment,a,11.0
10,abandons,a,8.0
11,abase,a,5.0
12,abased,a,6.0
13,abasement,a,9.0
14,abash,a,5.0
15,abashed,a,7.0
16,abate,a,5.0
17,abated,a,6.0
18,abatement,a,9.0
19,abates,a,6.0
20,abattoir,a,8.0
21,abattoirs,a,9.0
22,abbe,a,4.0
23,abbess,a,6.0
24,abbey,a,5.0
25,abbeys,a,6.0
26,abbot,a,5.0
27,abbots,a,6.0
28,abbreviate,a,10.0
29,abbreviated,a,11.0
30,abbreviates,a,11.0
31,abbreviating,a,12.0
32,abbreviation,a,12.0
33,abbreviations,a,13.0
34,abdicate,a,8.0
35,abdicated,a,9.0
36,abdicates,a,9.0
37,abdicating,a,10.0
38,abdication,a,10.0
39,abdomen,a,7.0
40,abdomens,a,8.0
41,abdominal,a,9.0
42,abduct,a,6.0
43,abducted,a,8.0
44,abducting,a,9.0
45,abduction,a,9.0
46,abductions,a,10.0
47,abductor,a,8.0
48,abductors,a,9.0
49,abducts,a,7.0
50,abe,a,3.0
51,abeam,a,5.0
52,abel,a,4.0
53,abele,a,5.0
54,aberdeen,a,8.0
55,aberrant,a,8.0
56,aberration,a,10.0
57,aberrations,a,11.0
58,abet,a,4.0
59,abets,a,5.0
60,abetted,a,7.0
61,abetting,a,8.0
62,abeyance,a,8.0
63,abhor,a,5.0
64,abhorred,a,8.0
65,abhorrence,a,10.0
66,abhorrent,a,9.0
67,abhors,a,6.0
68,abide,a,5.0
69,abided,a,6.0
70,abides,a,6.0
71,abiding,a,7.0
72,abidjan,a,7.0
73,abies,a,5.0
74,abilities,a,9.0
75,ability,a,7.0
76,abject,a,6.0
77,abjectly,a,8.0
78,abjure,a,6.0
79,abjured,a,7.0
80,ablate,a,6.0
81,ablates,a,7.0
82,ablating,a,8.0
83,ablation,a,8.0
84,ablative,a,8.0
85,ablaze,a,6.0
86,able,a,4.0
87,ablebodied,a,10.0
88,abler,a,5.0
89,ablest,a,6.0
90,abloom,a,6.0
91,ablution,a,8.0
92,ablutions,a,9.0
93,ably,a,4.0
94,abnegation,a,10.0
95,abnormal,a,8.0
96,abnormalities,a,13.0
97,abnormality,a,11.0
98,abnormally,a,10.0
99,aboard,a,6.0
100,abode,a,5.0
101,abodes,a,6.0
102,abolish,a,7.0
103,abolished,a,9.0
104,abolishes,a,9.0
105,abolishing,a,10.0
106,abolition,a,9.0
107,abolitionist,a,12.0
108,abolitionists,a,13.0
109,abomb,a,5.0
110,abominable,a,10.0
111,abominably,a,10.0
112,abominate,a,9.0
113,abominated,a,10.0
114,abomination,a,11.0
115,abominations,a,12.0
116,aboriginal,a,10.0
117,aborigines,a,10.0
118,abort,a,5.0
119,aborted,a,7.0
120,aborting,a,8.0
121,abortion,a,8.0
122,abortionist,a,11.0
123,abortionists,a,12.0
124,abortions,a,9.0
125,abortive,a,8.0
126,aborts,a,6.0
127,abound,a,6.0
128,abounded,a,8.0
129,abounding,a,9.0
130,abounds,a,7.0
131,about,a,5.0
132,above,a,5.0
133,abraded,a,7.0
134,abraham,a,7.0
135,abrasion,a,8.0
136,abrasions,a,9.0
137,abrasive,a,8.0
138,abrasively,a,10.0
139,abrasiveness,a,12.0
140,abrasives,a,9.0
141,abreast,a,7.0
142,abridge,a,7.0
143,abridged,a,8.0
144,abridgement,a,11.0
145,abridging,a,9.0
146,abroad,a,6.0
147,abrogate,a,8.0
148,abrogated,a,9.0
149,abrogating,a,10.0
150,abrogation,a,10.0
151,abrogations,a,11.0
152,abrupt,a,6.0
153,abruptly,a,8.0
154,abruptness,a,10.0
155,abscess,a,7.0
156,abscesses,a,9.0
157,abscissa,a,8.0
158,abscissae,a,9.0
159,abscissas,a,9.0
160,abscond,a,7.0
161,absconded,a,9.0
162,absconder,a,9.0
163,absconding,a,10.0
164,absconds,a,8.0
165,abseil,a,6.0
166,abseiled,a,8.0
167,abseiler,a,8.0
168,abseiling,a,9.0
169,abseils,a,7.0
170,absence,a,7.0
171,absences,a,8.0
172,absent,a,6.0
173,absented,a,8.0
174,absentee,a,8.0
175,absenteeism,a,11.0
176,absentees,a,9.0
177,absenting,a,9.0
178,absently,a,8.0
179,absentminded,a,12.0
180,absentmindedly,a,14.0
181,absentmindedness,a,16.0
182,absolute,a,8.0
183,absolutely,a,10.0
184,absoluteness,a,12.0
185,absolutes,a,9.0
186,absolution,a,10.0
187,absolutism,a,10.0
188,absolutist,a,10.0
189,absolutists,a,11.0
190,absolve,a,7.0
191,absolved,a,8.0
192,absolves,a,8.0
193,absolving,a,9.0
194,absorb,a,6.0
195,absorbed,a,8.0
196,absorbency,a,10.0
197,absorbent,a,9.0
198,absorber,a,8.0
199,absorbers,a,9.0
200,absorbing,a,9.0
201,absorbingly,a,11.0
202,absorbs,a,7.0
203,absorption,a,10.0
204,absorptions,a,11.0
